ID,Delay_Prelim,Delay_Report,Poster,Drawings,Proof_of_flight,Tech_inspection,Aircraft,DSQ,Protest,Disregard_Instructions,Total Penalties
1,0,0,0,0,0,20,0,0,0,0,20
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,5,0,0,0,0,5
4,0,0,0,0,0,9,0,0,0,0,9
5,0,0,0,0,0,20,0,0,0,0,20
6,0,0,0,0,0,0,0,0,0,0,0
7,90,0,50,0,80,0,0,0,0,0,220
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,10,0,0,7,0,0,0,0,17
12,0,0,0,0,0,82,0,0,0,0,82
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,30,0,0,15,0,0,0,0,45
16,0,0,0,0,0,30,0,0,0,0,30
17,0,0,0,0,20,308,0,0,0,0,328
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,15,0,0,0,0,15
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,101,0,0,0,0,101
24,0,0,0,0,60,0,0,0,0,0,60
25,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,50,0,0,207,0,0,0,0,257
30,0,0,0,0,20,0,0,0,0,0,20
31,0,0,0,0,0,2,0,0,0,0,2
32,0,0,0,0,30,20,0,0,0,0,50
33,0,0,10,0,0,0,0,0,0,0,10
34,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,10,0,0,0,0,0,10
37,0,0,0,0,0,0,0,0,0,0,0
